number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_max_depth,params_max_iter,params_min_samples_leaf,state,alpha
6,0.004040580256296102,2024-10-26 15:31:18.818572,2024-10-26 15:31:30.600253,0 days 00:00:11.781681,0.08354908675068784,0.016800020745110954,12,801,5,PRUNED,0.5
7,0.004048753950483565,2024-10-26 15:31:30.600368,2024-10-26 15:31:42.590900,0 days 00:00:11.990532,0.6416163698129047,0.08064774484704415,6,672,4,PRUNED,0.5
8,0.003967113571006113,2024-10-26 15:31:42.591019,2024-10-26 15:31:52.957019,0 days 00:00:10.366000,0.4477953464899065,0.02529024948007428,16,446,31,PRUNED,0.5
9,0.003977467832767182,2024-10-26 15:31:52.957149,2024-10-26 15:32:06.432936,0 days 00:00:13.475787,0.9738644379594175,0.01639895207985235,12,889,16,PRUNED,0.5
10,0.004078836137992446,2024-10-26 15:32:06.433055,2024-10-26 15:32:09.557147,0 days 00:00:03.124092,0.6413251232740308,0.03135580528446886,19,116,26,PRUNED,0.5
11,0.003997226422986992,2024-10-26 15:32:09.557270,2024-10-26 15:32:13.031444,0 days 00:00:03.474174,0.9573165559311704,0.09453065055151666,8,147,12,PRUNED,0.5
12,0.0039768056801516,2024-10-26 15:32:13.031557,2024-10-26 15:32:17.798055,0 days 00:00:04.766498,0.7416456811536325,0.07165775982556256,20,716,12,PRUNED,0.5
13,0.003933729522909139,2024-10-26 15:32:17.798176,2024-10-26 15:32:30.567351,0 days 00:00:12.769175,0.8323974166559703,0.03961345027980569,17,510,21,COMPLETE,0.5
14,0.004014473010434963,2024-10-26 15:32:30.567558,2024-10-26 15:32:37.351660,0 days 00:00:06.784102,0.5827573033930686,0.03756666393037464,18,259,24,PRUNED,0.5
15,0.003956625011586458,2024-10-26 15:32:37.351785,2024-10-26 15:32:47.856801,0 days 00:00:10.505016,0.8003399814381198,0.027411144310480844,17,468,22,COMPLETE,0.5
16,0.004010766485173864,2024-10-26 15:32:47.856957,2024-10-26 15:33:06.381672,0 days 00:00:18.524715,0.837896936250918,0.04898194110499873,14,998,34,PRUNED,0.5
17,0.003963375773555877,2024-10-26 15:33:06.381898,2024-10-26 15:33:18.178219,0 days 00:00:11.796321,0.5357220193829884,0.022405000037869684,20,528,28,PRUNED,0.5
18,0.003977410265319834,2024-10-26 15:33:18.178339,2024-10-26 15:33:25.251314,0 days 00:00:07.072975,0.29011907633816747,0.04005412991491378,15,276,9,PRUNED,0.5
19,0.003955476285813885,2024-10-26 15:33:25.251448,2024-10-26 15:33:30.616835,0 days 00:00:05.365387,0.7057077111289249,0.06407908267693636,18,220,20,COMPLETE,0.5
0,0.0037835075622320467,2024-10-26 15:33:30.910988,2024-10-26 15:33:38.748893,0 days 00:00:07.837905,0.9608262092240524,0.035625876500321285,14,846,21,COMPLETE,0.6
1,0.0038128741268081408,2024-10-26 15:33:38.749269,2024-10-26 15:33:46.716040,0 days 00:00:07.966771,0.2390002632087178,0.03906433205711865,19,641,38,COMPLETE,0.6
2,0.003822136101741998,2024-10-26 15:33:46.716531,2024-10-26 15:33:59.685548,0 days 00:00:12.969017,0.35538026203168793,0.02252003460962054,13,828,32,COMPLETE,0.6
3,0.0038255685085339325,2024-10-26 15:33:59.686109,2024-10-26 15:34:12.106724,0 days 00:00:12.420615,0.11346343470336462,0.018945401997923356,20,467,24,COMPLETE,0.6
4,0.004389265846687048,2024-10-26 15:34:12.106915,2024-10-26 15:34:15.771796,0 days 00:00:03.664881,0.8666843423196485,0.01838720481602147,7,148,9,COMPLETE,0.6
5,0.0038994464376510365,2024-10-26 15:34:15.772009,2024-10-26 15:34:22.926941,0 days 00:00:07.154932,0.10263956564061671,0.017283082459027956,14,272,8,PRUNED,0.6
6,0.0040849837689731746,2024-10-26 15:34:22.927063,2024-10-26 15:34:24.526760,0 days 00:00:01.599697,0.6169780542561845,0.04869451774531352,3,705,10,PRUNED,0.6
7,0.0038155858129836923,2024-10-26 15:34:24.527001,2024-10-26 15:34:33.285774,0 days 00:00:08.758773,0.6563295335009105,0.02948120387304792,18,670,31,COMPLETE,0.6
8,0.004113355810342886,2024-10-26 15:34:33.285988,2024-10-26 15:34:35.465093,0 days 00:00:02.179105,0.9677239448110827,0.03386666491117896,3,889,15,PRUNED,0.6
9,0.0037815880886520963,2024-10-26 15:34:35.465325,2024-10-26 15:34:42.614952,0 days 00:00:07.149627,0.7761702610840645,0.032325885860027465,7,822,22,COMPLETE,0.6
10,0.003794807190902991,2024-10-26 15:34:42.615122,2024-10-26 15:34:49.126207,0 days 00:00:06.511085,0.7368288835320472,0.09703736835720989,8,969,17,COMPLETE,0.6
11,0.003825493249846886,2024-10-26 15:34:49.126378,2024-10-26 15:35:08.321217,0 days 00:00:19.194839,0.9954555044989061,0.010754118288200299,9,794,24,PRUNED,0.6
12,0.003868466754142149,2024-10-26 15:35:08.321497,2024-10-26 15:35:14.705074,0 days 00:00:06.383577,0.7420822275208815,0.057987538944734435,15,439,21,PRUNED,0.6
13,0.0038429988354230535,2024-10-26 15:35:14.705192,2024-10-26 15:35:19.005853,0 days 00:00:04.300661,0.4596811703087903,0.06497216123893905,11,961,1,PRUNED,0.6
14,0.003808891820324851,2024-10-26 15:35:19.005979,2024-10-26 15:35:27.287729,0 days 00:00:08.281750,0.8447397807719368,0.025008214541144425,5,557,29,COMPLETE,0.6
15,0.0038590835173639235,2024-10-26 15:35:27.287901,2024-10-26 15:35:32.861170,0 days 00:00:05.573269,0.5439306466656602,0.04254302157291823,12,769,17,PRUNED,0.6
16,0.0038033603737607,2024-10-26 15:35:32.861366,2024-10-26 15:35:52.925172,0 days 00:00:20.063806,0.8429549491925801,0.011867880233233563,10,883,26,COMPLETE,0.6
17,0.0038719603203506963,2024-10-26 15:35:52.925849,2024-10-26 15:36:01.189071,0 days 00:00:08.263222,0.7484308910337348,0.08129313659853343,16,999,37,PRUNED,0.6
18,0.0037867467861635693,2024-10-26 15:36:01.189196,2024-10-26 15:36:12.617684,0 days 00:00:11.428488,0.9185046292955658,0.03065151705168026,6,587,21,COMPLETE,0.6
19,0.0038564459354972444,2024-10-26 15:36:12.617849,2024-10-26 15:36:17.686834,0 days 00:00:05.068985,0.4254300850563527,0.05166227369132311,16,435,14,PRUNED,0.6
