number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,alpha
19,0.0038354861448462478,2024-10-16 22:02:30.755650,2024-10-16 22:02:36.156785,0 days 00:00:05.401135,0.7096312083387998,0.030873632136922333,11,76,6.814209278554383,0.9912106020997652,657,183,0.1625396521010336,0.6619440225890258,0.9217257173230805,5,PRUNED,0.4
0,0.004091280944015464,2024-10-16 22:02:40.528911,2024-10-16 22:02:51.102661,0 days 00:00:10.573750,0.9445431241900417,0.09633214287380883,12,80,1.99536620215816,0.047377704354578,858,182,0.32259111995214007,0.32481736529079197,0.7312408785926576,9,COMPLETE,0.5
1,0.003945520261549987,2024-10-16 22:02:51.102898,2024-10-16 22:02:55.902311,0 days 00:00:04.799413,0.7917760772322242,0.02238491057167098,18,86,1.037711999173229,0.7329716386550329,332,193,0.6389898291294243,0.5270857921616062,0.6470604356070397,5,COMPLETE,0.5
2,0.003935657958123107,2024-10-16 22:02:55.902543,2024-10-16 22:02:58.900162,0 days 00:00:02.997619,0.9665233302757688,0.03749867547271462,15,81,8.946657091409946,0.44493204510657824,253,57,0.8389416200032129,0.05338675199488552,0.5218559192250578,1,COMPLETE,0.5
3,0.004041903849819956,2024-10-16 22:02:58.900392,2024-10-16 22:03:02.107309,0 days 00:00:03.206917,0.7004422917085478,0.014455406580690592,18,62,0.25377161543064225,0.0792676178354802,271,51,0.9476899820776739,0.189232664346782,0.8553901178615679,3,COMPLETE,0.5
4,0.004039766225314144,2024-10-16 22:03:02.107546,2024-10-16 22:03:10.187517,0 days 00:00:08.079971,0.6839411716258452,0.023231646955138963,15,29,0.1980213673191856,0.8712544731507422,729,266,0.5872286871039974,0.7261602802396002,0.6074778592199559,9,COMPLETE,0.5
5,0.004032536642462156,2024-10-16 22:03:10.188390,2024-10-16 22:03:14.046723,0 days 00:00:03.858333,0.6693221756877478,0.010729300248547576,9,26,9.795629766290995,0.21134736527664733,436,37,0.2669557545167627,0.4150306877548695,0.6915060531737866,3,COMPLETE,0.5
6,0.004337928588865239,2024-10-16 22:03:14.046964,2024-10-16 22:03:15.070879,0 days 00:00:01.023915,0.992044130235497,0.01597969960093232,3,74,0.9487821423449393,0.8953763506528025,448,235,0.6272703921957584,0.7448346163018912,0.6854368226895542,3,PRUNED,0.5
7,0.004014799009788669,2024-10-16 22:03:15.071045,2024-10-16 22:03:20.075653,0 days 00:00:05.004608,0.6822633610463565,0.05995056585467207,14,43,3.347169482208663,0.552526219024112,309,218,0.2579038012233881,0.995394855960045,0.5483147326321443,5,COMPLETE,0.5
8,0.004140295428022149,2024-10-16 22:03:20.075891,2024-10-16 22:03:21.338183,0 days 00:00:01.262292,0.898867481302265,0.02092286654435606,6,12,5.158447631640541,0.6761075386312136,168,143,0.3491933922470908,0.8331828283888756,0.8059215939048883,4,PRUNED,0.5
9,0.004006891624498095,2024-10-16 22:03:21.339013,2024-10-16 22:03:28.759236,0 days 00:00:07.420223,0.7230659407196665,0.01881702345185547,12,40,5.176424256459266,0.9919087664020716,950,78,0.5204885596166692,0.06347650075847855,0.5556949572503908,9,COMPLETE,0.5
10,0.004095992659241221,2024-10-16 22:03:28.759538,2024-10-16 22:03:31.027588,0 days 00:00:02.268050,0.5153264494986389,0.04062614610046219,20,96,9.989407015913544,0.34254505027087173,109,110,0.004901416881519904,0.03195298288482806,0.9805711744267395,1,PRUNED,0.5
11,0.003911337208070282,2024-10-16 22:03:31.027742,2024-10-16 22:03:36.411321,0 days 00:00:05.383579,0.8344440860884973,0.03619046402240094,17,97,7.504206895247493,0.6133988945601082,608,162,0.8334077491925358,0.5051644717482897,0.5004776138042494,1,COMPLETE,0.5
12,0.0038905711138347092,2024-10-16 22:03:36.411580,2024-10-16 22:03:44.282662,0 days 00:00:07.871082,0.8449067255125089,0.037178714505645985,15,95,7.615959656066824,0.45328274725453155,636,133,0.9259568266286473,0.548225754945999,0.5004076909536965,1,COMPLETE,0.5
