number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state,alpha
12,8.034910770990411,2024-10-12 21:39:43.184813,2024-10-12 21:39:52.589527,0 days 00:00:09.404714,0.9002285396681391,0.04388169769206277,20,5,392,206,0.9713996103612597,0.30811661132762924,0.6212119388860973,COMPLETE,0.5
13,7.971037684164546,2024-10-12 21:39:52.589708,2024-10-12 21:40:01.334927,0 days 00:00:08.745219,0.8992951476673966,0.07268702997304231,16,9,341,240,0.9822223570690166,0.38996785648222765,0.6334540005597773,COMPLETE,0.5
14,8.123963485039061,2024-10-12 21:40:01.335113,2024-10-12 21:40:07.984973,0 days 00:00:06.649860,0.8863242639753843,0.0796864271193987,16,21,307,262,0.8684864891915373,0.4515273087415509,0.8085900334788724,COMPLETE,0.5
15,8.280451082523866,2024-10-12 21:40:07.985166,2024-10-12 21:40:13.685038,0 days 00:00:05.699872,0.8848586479967588,0.06429670419407517,16,23,323,179,0.3208311290808579,0.18268344153372862,0.6502632781603253,COMPLETE,0.5
16,8.83921550816891,2024-10-12 21:40:13.685219,2024-10-12 21:40:18.204546,0 days 00:00:04.519327,0.9388092775221022,0.059383660623385924,13,75,593,246,0.8682223318472925,0.4072676907941982,0.5870494921264396,PRUNED,0.5
17,8.244794822534844,2024-10-12 21:40:18.204671,2024-10-12 21:40:26.520990,0 days 00:00:08.316319,0.8353620058955377,0.032304852132304246,17,15,305,289,0.4272448253098441,0.6617286583295239,0.7052064933935573,COMPLETE,0.5
18,7.886675329777556,2024-10-12 21:40:26.521170,2024-10-12 21:40:36.778912,0 days 00:00:10.257742,0.9227887091132818,0.09904883072794549,18,32,553,221,0.8640633853443835,0.16682854638270128,0.8280247373491697,COMPLETE,0.5
19,8.215269602329636,2024-10-12 21:40:36.779103,2024-10-12 21:40:43.379847,0 days 00:00:06.600744,0.847372870676014,0.09460026623304442,13,35,574,228,0.8492180057452106,0.18032797141030082,0.8398050093687669,COMPLETE,0.5
0,9.902122931931254,2024-10-12 21:40:53.394205,2024-10-12 21:40:55.455674,0 days 00:00:02.061469,0.800640744974892,0.020702504373031363,6,97,566,287,0.2663612062303905,0.3088359593009765,0.8671021672632548,COMPLETE,0.6
1,9.464095282567094,2024-10-12 21:40:55.455849,2024-10-12 21:40:59.757448,0 days 00:00:04.301599,0.5821380444268166,0.012440631198722945,8,89,728,198,0.4621615213253115,0.5510074987624035,0.9960017094659793,COMPLETE,0.6
2,8.475859299174328,2024-10-12 21:40:59.757628,2024-10-12 21:41:10.437733,0 days 00:00:10.680105,0.7592882958631821,0.039292103964595274,12,6,926,99,0.2871057534502507,0.37161494077172097,0.9829707794305907,COMPLETE,0.6
3,8.660118656545048,2024-10-12 21:41:10.437912,2024-10-12 21:41:17.304566,0 days 00:00:06.866654,0.5222977937617185,0.019279681934492685,18,73,492,179,0.15769645291762024,0.885427405857161,0.7749109779015126,COMPLETE,0.6
4,8.102312542585867,2024-10-12 21:41:17.304756,2024-10-12 21:41:28.983083,0 days 00:00:11.678327,0.8174782037795247,0.01595145204488124,17,22,805,135,0.6348565054574765,0.9926052155268222,0.5649916162085917,COMPLETE,0.6
5,8.256741400505911,2024-10-12 21:41:28.983274,2024-10-12 21:41:35.514868,0 days 00:00:06.531594,0.7673839074984183,0.03350488564106398,19,52,426,184,0.12058270424149053,0.1530821461795152,0.9719767315527514,COMPLETE,0.6
6,10.306518964124821,2024-10-12 21:41:35.515119,2024-10-12 21:41:36.754370,0 days 00:00:01.239251,0.6453012815988894,0.013203307033418134,5,21,401,110,0.9291705621714861,0.3937142277624507,0.6249199013182707,PRUNED,0.6
7,10.029620892298635,2024-10-12 21:41:36.754501,2024-10-12 21:41:39.009141,0 days 00:00:02.254640,0.6213565342101679,0.0109695716275955,6,75,548,282,0.6919816156786008,0.8860345785659336,0.9087124697720964,PRUNED,0.6
8,11.40631795614444,2024-10-12 21:41:39.009267,2024-10-12 21:41:39.560688,0 days 00:00:00.551421,0.9149641591207388,0.020089610399330788,3,15,362,229,0.13719144925137827,0.38520453846933966,0.9245188188191173,PRUNED,0.6
9,9.008784788120007,2024-10-12 21:41:39.560807,2024-10-12 21:41:40.511836,0 days 00:00:00.951029,0.9257691192923199,0.06116636595736387,16,51,126,64,0.31893283458709576,0.1204190204871699,0.8517610950045911,PRUNED,0.6
10,8.626692316053076,2024-10-12 21:41:40.511965,2024-10-12 21:41:45.501828,0 days 00:00:04.989863,0.8532096672761116,0.09468021900647818,14,35,999,37,0.7173917640029095,0.6740598245789012,0.5113015664446124,PRUNED,0.6
11,8.081229788156284,2024-10-12 21:41:45.501949,2024-10-12 21:41:56.331899,0 days 00:00:10.829950,0.7001614333587944,0.03557383927857083,20,45,767,135,0.00866721800721662,0.034019616408601516,0.643249348705401,COMPLETE,0.6
12,7.8921277766579845,2024-10-12 21:41:56.332076,2024-10-12 21:42:07.474044,0 days 00:00:11.141968,0.6794126148727713,0.04446542749074352,20,35,788,130,0.5922977789674366,0.017047203430299643,0.6060119562375818,COMPLETE,0.6
