number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,alpha
17,0.0051757921306984185,2024-10-26 15:56:03.763606,2024-10-26 15:56:10.566432,0 days 00:00:06.802826,0.8984224520146097,0.059922477046803424,6,991,8.709884798549362,8.43394675606473,0.7652869125735946,PRUNED,0.4
18,0.004137820421325853,2024-10-26 15:56:10.566554,2024-10-26 15:56:16.449325,0 days 00:00:05.882771,0.3775857508481236,0.03777703251739496,4,859,9.97137303318926,8.953384954976324,0.9155762746188834,PRUNED,0.4
19,0.004569615448249456,2024-10-26 15:56:16.449449,2024-10-26 15:56:20.521416,0 days 00:00:04.071967,0.8063945538535688,0.05671838708758042,6,576,7.752517238382905,6.423272340428414,0.7171463787444436,PRUNED,0.4
0,0.005325627167748659,2024-10-26 15:56:25.648385,2024-10-26 15:56:26.366831,0 days 00:00:00.718446,0.3061518803536248,0.0400516670703497,7,101,9.18798840594045,9.099669103245972,0.8617483975040194,COMPLETE,0.5
1,0.006618054698837376,2024-10-26 15:56:26.366997,2024-10-26 15:56:32.910340,0 days 00:00:06.543343,0.23240361962414033,0.0933688690783095,7,894,1.2181210291133404,4.328996249563416,0.4753846917480473,COMPLETE,0.5
2,0.005712141666101892,2024-10-26 15:56:32.910579,2024-10-26 15:56:34.128556,0 days 00:00:01.217977,0.32850012009866125,0.012136359895345778,5,221,7.271516749657049,4.585725882786621,0.2656522318881755,COMPLETE,0.5
3,0.005442608507930113,2024-10-26 15:56:34.128737,2024-10-26 15:56:37.251141,0 days 00:00:03.122404,0.20554833896550032,0.01927640424314805,5,482,4.433552143531357,8.308546150084755,0.753781798723555,COMPLETE,0.5
4,0.003954259450076766,2024-10-26 15:56:37.251998,2024-10-26 15:56:41.092410,0 days 00:00:03.840412,0.5471780201724238,0.060965396492235265,3,874,4.5424113217088475,2.018548085499317,0.290502954270194,COMPLETE,0.5
5,0.004987688468974842,2024-10-26 15:56:41.092578,2024-10-26 15:56:43.554877,0 days 00:00:02.462299,0.982091450390878,0.08498577719114103,8,291,5.029586172835632,7.898360571369614,0.7938515482675266,COMPLETE,0.5
6,0.004227517132250121,2024-10-26 15:56:43.555050,2024-10-26 15:56:44.550580,0 days 00:00:00.995530,0.5165523186834647,0.06194175516450664,6,139,8.044616397152275,2.013968919033908,0.840274669778294,COMPLETE,0.5
7,0.004639874064272,2024-10-26 15:56:44.550757,2024-10-26 15:56:48.700892,0 days 00:00:04.150135,0.438737137235478,0.03114803155858309,6,745,4.5992221310186325,3.984486140033511,0.231955819247416,COMPLETE,0.5
8,0.004540291419620822,2024-10-26 15:56:48.701060,2024-10-26 15:56:50.170563,0 days 00:00:01.469503,0.446454074472324,0.09893623888321544,3,274,9.016933208528178,7.881379134306562,0.47108941324582077,COMPLETE,0.5
9,0.003849208060094417,2024-10-26 15:56:50.170741,2024-10-26 15:56:55.845318,0 days 00:00:05.674577,0.8259751706551501,0.05378858679971885,6,777,3.429907437206618,0.032678577525936114,0.6732618590680942,COMPLETE,0.5
10,0.005189436999737549,2024-10-26 15:56:55.845498,2024-10-26 15:57:02.214551,0 days 00:00:06.369053,0.7766369132611615,0.07274914217349879,9,645,1.0208090174926765,0.5668641677007427,0.63048230358965,PRUNED,0.5
11,0.003792227904463846,2024-10-26 15:57:02.214676,2024-10-26 15:57:07.256153,0 days 00:00:05.041477,0.6999458927629653,0.05592075450682666,3,990,2.740707953679559,0.20657218413963696,0.4287748484437515,COMPLETE,0.5
12,0.003569013512907545,2024-10-26 15:57:07.256752,2024-10-26 15:57:13.163012,0 days 00:00:05.906260,0.7374326596741756,0.04689421056767963,4,994,2.6454879014621127,0.14429608145090073,0.5693717528204576,COMPLETE,0.5
13,0.0037840300325844177,2024-10-26 15:57:13.163230,2024-10-26 15:57:20.767360,0 days 00:00:07.604130,0.6993569615759209,0.04371899529643179,4,995,2.4208433734993116,1.8989792081331025,0.9881021523725957,COMPLETE,0.5
14,0.0036918657179696142,2024-10-26 15:57:20.767530,2024-10-26 15:57:28.507244,0 days 00:00:07.739714,0.6624932162179339,0.036196040636672026,4,998,2.2643591831914076,2.337366687186774,0.992295239763137,COMPLETE,0.5
15,0.003619159480231129,2024-10-26 15:57:28.507673,2024-10-26 15:57:31.723722,0 days 00:00:03.216049,0.9138096185986977,0.03069416061746818,4,489,0.4954218050210284,2.7736448679924077,0.5575101245404932,COMPLETE,0.5
16,0.00352092615871103,2024-10-26 15:57:31.723906,2024-10-26 15:57:34.675484,0 days 00:00:02.951578,0.9992571081617012,0.024408294217903557,4,494,0.12429515844704753,6.06605673147132,0.5515702642250608,COMPLETE,0.5
17,0.013703982062695906,2024-10-26 15:57:34.675662,2024-10-26 15:57:36.913753,0 days 00:00:02.238091,0.8401268223815066,0.00045891058953076436,5,394,0.31788115846591847,6.416640322869217,0.3495946546059504,PRUNED,0.5
18,0.0035815632588174556,2024-10-26 15:57:36.913873,2024-10-26 15:57:40.692997,0 days 00:00:03.779124,0.9846103297023925,0.017162253830746432,4,578,1.6469091675242087,5.734838658450304,0.5489558527162195,COMPLETE,0.5
19,0.004175868232869875,2024-10-26 15:57:40.693166,2024-10-26 15:57:43.526537,0 days 00:00:02.833371,0.8847573925546421,0.07184928192698622,5,399,6.245039514972798,6.558073246058132,0.7133295931811052,PRUNED,0.5
0,0.005410759306994938,2024-10-26 15:57:46.403270,2024-10-26 15:57:51.997278,0 days 00:00:05.594008,0.9496719800061069,0.09976869999351755,9,687,1.746651493661681,4.487063447322118,0.27422304275035153,COMPLETE,0.6
1,0.0036785542442734393,2024-10-26 15:57:51.997446,2024-10-26 15:57:54.916212,0 days 00:00:02.918766,0.716098429669145,0.026681409484276327,6,407,6.402176873421027,1.974798761756244,0.8306072141189422,COMPLETE,0.6
2,0.011563917499317062,2024-10-26 15:57:54.916379,2024-10-26 15:57:55.468345,0 days 00:00:00.551966,0.7059117904031537,0.005499221235439249,5,100,7.222422490614572,4.352033142678894,0.30021335679154926,COMPLETE,0.6
3,0.0049942082996798295,2024-10-26 15:57:55.468515,2024-10-26 15:57:58.102092,0 days 00:00:02.633577,0.9188731197620009,0.05662488220349241,9,355,6.54571106227862,0.560189449234578,0.2865237393722572,COMPLETE,0.6
4,0.003766235852423936,2024-10-26 15:57:58.102259,2024-10-26 15:58:02.876421,0 days 00:00:04.774162,0.7342884790620254,0.046693272444305975,3,723,8.363759086566603,1.2757273550527084,0.8706181304722362,COMPLETE,0.6
5,0.0044796704456689165,2024-10-26 15:58:02.876591,2024-10-26 15:58:05.551826,0 days 00:00:02.675235,0.47203156226708975,0.0698613660328442,9,306,6.434355368325598,4.83275287298188,0.8862635027407686,COMPLETE,0.6
6,0.01893212684053092,2024-10-26 15:58:05.552014,2024-10-26 15:58:09.276943,0 days 00:00:03.724929,0.6639722096874128,0.00010023623851578718,6,612,9.514099895977882,4.602988436611919,0.3863947600756646,PRUNED,0.6
7,0.0033556160912693546,2024-10-26 15:58:09.277062,2024-10-26 15:58:10.061410,0 days 00:00:00.784348,0.9120755527925535,0.08928292057102105,5,114,8.28689906741083,4.650829335035227,0.8877126970632845,COMPLETE,0.6
8,0.003964842678590984,2024-10-26 15:58:10.061601,2024-10-26 15:58:12.163228,0 days 00:00:02.101627,0.8480766192338136,0.06929625939594973,6,349,2.8687820411892946,3.367370749186318,0.3489983918273355,COMPLETE,0.6
9,0.003965156372308999,2024-10-26 15:58:12.163409,2024-10-26 15:58:15.213771,0 days 00:00:03.050362,0.5092009457306597,0.025008362658277605,4,539,6.276107454809228,6.645400068473761,0.6434071078979633,COMPLETE,0.6
