number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,state,quantile
5,0.005542771545676208,2024-10-17 22:24:54.717232,2024-10-17 22:24:57.265947,0 days 00:00:02.548715,0.7274025137106419,0.5599832313986471,0.04111263716335093,5,89,5.945755139768014,0.9134014883294471,936,274,0.6801637784446669,0.04951828724341467,0.9401503167045011,6,COMPLETE,0.3
6,0.004770392939277709,2024-10-17 22:24:57.266348,2024-10-17 22:25:00.559357,0 days 00:00:03.293009,0.8773422886078361,0.7820653216461657,0.07601767841618023,10,87,6.9375119855858225,0.4408438744421661,642,183,0.19722846914589898,0.29408440774211086,0.7514049120623808,1,COMPLETE,0.3
7,0.005412686233160181,2024-10-17 22:25:00.559594,2024-10-17 22:25:03.348102,0 days 00:00:02.788508,0.00014735423210136218,0.6517201810666683,0.01718970578895725,8,96,1.693070064461287,0.49776725630855345,659,25,0.686836190797643,0.8065684546118121,0.8284330626696138,10,COMPLETE,0.3
8,0.005607575318602674,2024-10-17 22:25:03.348336,2024-10-17 22:25:05.362561,0 days 00:00:02.014225,0.2984827388970546,0.5517111302540991,0.018006270214904044,5,67,2.7012334175276838,0.020712902302559844,591,228,0.10002527549129203,0.07367012381824045,0.6271917004352698,1,COMPLETE,0.3
9,0.004960443123217273,2024-10-17 22:25:05.362796,2024-10-17 22:25:09.393943,0 days 00:00:04.031147,0.0001804772549544945,0.7560678575723379,0.047429321998135314,6,26,3.6293260175526476,0.21728189869834225,690,109,0.41342006232311646,0.31156074142487356,0.7161943975098177,5,COMPLETE,0.3
10,0.005020919108290477,2024-10-17 22:25:09.394235,2024-10-17 22:25:11.152752,0 days 00:00:01.758517,0.052753736449666785,0.8843555326442435,0.09897085203998068,20,42,9.610623284706904,0.7557381493947496,257,298,0.8898102301492394,0.9277069203064296,0.5166355061154188,3,COMPLETE,0.3
11,0.0044768263605868015,2024-10-17 22:25:11.153029,2024-10-17 22:25:17.112618,0 days 00:00:05.959589,0.002830240406016699,0.8796941856386882,0.09335790832165347,14,69,8.325170183891053,0.3224704555532077,868,188,0.35285797124781704,0.6062827659883564,0.8709525555868013,2,COMPLETE,0.3
12,0.004285802421564755,2024-10-17 22:25:17.112838,2024-10-17 22:25:25.924921,0 days 00:00:08.812083,0.001794214433209013,0.8855823170677622,0.07220561320939171,15,65,8.472585433355311,0.2688790496855704,960,157,0.4005383125080559,0.6311368929906661,0.8755440015990199,3,COMPLETE,0.3
13,0.00398182547642846,2024-10-17 22:25:25.925181,2024-10-17 22:25:38.660553,0 days 00:00:12.735372,0.0010712116745432323,0.8717758605820559,0.09603678836238737,14,50,9.288416862410084,0.1615005081783783,997,141,0.3241161239206318,0.5472553281930779,0.8701048396584584,3,COMPLETE,0.3
14,0.0040129014061471326,2024-10-17 22:25:38.660800,2024-10-17 22:25:52.632664,0 days 00:00:13.971864,0.0007145700275144503,0.8657458502545521,0.06257654057852868,14,44,9.9277952787445,0.009399980065941449,1000,139,0.27229467407439756,0.47927221253050944,0.8737065364884997,4,COMPLETE,0.3
15,0.004076524613598265,2024-10-17 22:25:52.632913,2024-10-17 22:26:04.032985,0 days 00:00:11.400072,0.0005039801117001168,0.8405304366958081,0.05929407817457083,14,43,9.513723941439194,0.009925112511040363,779,128,0.2967481124479333,0.41342821073170744,0.8994847722352876,7,COMPLETE,0.3
16,0.0041620234997234735,2024-10-17 22:26:04.033219,2024-10-17 22:26:21.323610,0 days 00:00:17.290391,0.0005555986886140904,0.6832404573413159,0.03735165065299801,13,29,0.1418493551358493,0.13054566201473722,994,142,0.0014586126209622519,0.5201896554072161,0.8247872140523126,5,COMPLETE,0.3
17,0.004232779076304165,2024-10-17 22:26:21.323843,2024-10-17 22:26:29.333259,0 days 00:00:08.009416,0.00047393862265391424,0.8240965627192653,0.06802700986120096,17,49,8.120367513186423,0.10867603223083147,825,69,0.2592953248316392,0.7334812908732857,0.6263664464376798,4,COMPLETE,0.3
